,country,Population,page,rev_id
10620,Czech Republic,0,Antonín Švehla,712426548.0
10621,Czech Republic,0,Viktor Dyk,800925236.0
10622,Czech Republic,0,Ivo Svoboda (politician),776513552.0
10623,Czech Republic,0,Milena Vicenová,779847883.0
10624,Czech Republic,0,Alois Eliáš,806566913.0
10625,Czech Republic,0,Pavel Svoboda,807416099.0
10626,Czech Republic,0,Antonín Novotný,790372008.0
10627,Czech Republic,0,Vladimír Klokočka,717429365.0
10628,Czech Republic,0,Richard Bienert,788410657.0
10629,Czech Republic,0,Václav Jehlička,802365998.0
10630,Czech Republic,0,Jan Stocklassa,776095794.0
10631,Czech Republic,0,Karel Domin,735174171.0
10632,Czech Republic,0,Zuzana Brzobohatá,790608148.0
10633,Czech Republic,0,Gustáv Slamečka,792476721.0
10634,Czech Republic,0,Táňa Fischerová,802360196.0
10635,Czech Republic,0,Kamil Krofta,726762194.0
10636,Czech Republic,0,Antonín Janoušek,729912438.0
10637,Czech Republic,0,Petr Mlsna,765838180.0
10638,Czech Republic,0,Vojtěch Náprstek,798686948.0
10639,Czech Republic,0,Alena Palečková,790608180.0
10640,Czech Republic,0,Zuzana Roithová,790608186.0
10641,Czech Republic,0,Petr Bendl,784826685.0
10642,Czech Republic,0,Jan Skopeček (politician),806569308.0
10643,Czech Republic,0,Radek John,798944631.0
10644,Czech Republic,0,Drahomíra Miklošová,806988445.0
10645,Czech Republic,0,Vladimír Špidla,807462107.0
10646,Czech Republic,0,Jan Malypetr,704424304.0
10647,Czech Republic,0,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",801939668.0
10648,Czech Republic,0,Jana Juřenčáková,743423675.0
10649,Czech Republic,0,Petr Fiala,807420515.0
10650,Czech Republic,0,Jan Fischer (politician),804868436.0
10651,Czech Republic,0,Adriana Krnáčová,801972898.0
10652,Czech Republic,0,Václav Fischer,756317863.0
10653,Czech Republic,0,Josef Barák,711675761.0
10654,Czech Republic,0,Julius Gregr,395521877.0
10655,Czech Republic,0,Edvard Gregr,395526568.0
10656,Czech Republic,0,Franz Macoun,715640391.0
10657,Czech Republic,0,Vávra Suk,798648973.0
10658,Czech Republic,0,Tomáš Eduard Šilinger,741588720.0
10659,Czech Republic,0,Miroslav Poche,672862914.0
10660,Czech Republic,0,Jan Kohout,806539480.0
10661,Czech Republic,0,Miroslav Macek,779849258.0
10662,Czech Republic,0,Josef Lux,779849059.0
10663,Czech Republic,0,Martin Říman,807394725.0
10664,Czech Republic,0,Petr Gandalovič,784826720.0
10665,Czech Republic,0,Martin Štěpánek (actor),779847799.0
10666,Czech Republic,0,Juraj Chmiel,779847492.0
10667,Czech Republic,0,Karolína Peake,803794383.0
10668,Czech Republic,0,Marie Benešová,779847262.0
10669,Czech Republic,0,Rudolf Slánský,806504904.0
10670,Czech Republic,0,Jan Chvojka,779842639.0
